game_id,home_team,away_team,home_points,away_points,total_points,margin,provider,closing_spread,ats_result,closing_ou,ou_result,home_ml,ml_result
401871046,Missouri State,Lindenwood,48,14,62,34,betrivers,-16.0,home_cover,53.5,over,-1250.0,home_win
401871046,Missouri State,Lindenwood,48,14,62,34,bovada,-17.0,home_cover,52.5,over,-850.0,home_win
401871046,Missouri State,Lindenwood,48,14,62,34,draftkings,-16.5,home_cover,53.5,over,-850.0,home_win
401871046,Missouri State,Lindenwood,48,14,62,34,fanduel,-16.5,home_cover,53.5,over,-1000.0,home_win
401871046,Missouri State,Lindenwood,48,14,62,34,mybookieag,-17.0,home_cover,53.5,over,-901.0,home_win
401869130,East Texas A&M,Northwestern State,38,14,52,24,DraftKings,-20.5,home_cover,53.5,under,-1320.0,home_win
401867890,Southern Illinois,Southeast Missouri State,34,20,54,14,DraftKings,-7.5,home_cover,53.5,over,-355.0,home_win
401868195,Alabama A&M,Tennessee State,30,3,33,27,DraftKings,3.5,home_cover,49.5,under,118.0,home_win
401856680,South Carolina,Towson,45,9,54,36,Bovada,-44.5,away_cover,57.0,under,,home_win
401856680,South Carolina,Towson,45,9,54,36,DraftKings,-44.5,away_cover,57.5,under,,home_win
401856680,South Carolina,Towson,45,9,54,36,betmgm,-44.5,away_cover,57.5,under,,home_win
401856680,South Carolina,Towson,45,9,54,36,betonlineag,-44.5,away_cover,57.0,under,,home_win
401856680,South Carolina,Towson,45,9,54,36,betrivers,-44.0,away_cover,57.0,under,,home_win
401856680,South Carolina,Towson,45,9,54,36,bovada,-44.5,away_cover,57.0,under,,home_win
401856680,South Carolina,Towson,45,9,54,36,draftkings,-44.5,away_cover,57.5,under,,home_win
401856680,South Carolina,Towson,45,9,54,36,fanduel,-43.5,away_cover,57.5,under,,home_win
401856680,South Carolina,Towson,45,9,54,36,lowvig,-44.5,away_cover,57.0,under,,home_win
401867867,Murray State,Valparaiso,27,18,45,9,DraftKings,-14.5,away_cover,48.5,under,-720.0,home_win
401868386,Tennessee Tech,Samford,45,19,64,26,DraftKings,-26.5,away_cover,48.5,over,-5900.0,home_win
401907427,Newberry,Lenoir Rhyne,14,21,35,-7,none,,,,,,
401908387,Centenary (LA),Millsaps,0,57,57,-57,none,,,,,,
401856786,Cincinnati,Western Carolina,62,10,72,52,Bovada,-36.5,home_cover,61.5,over,,home_win
401856786,Cincinnati,Western Carolina,62,10,72,52,DraftKings,-35.5,home_cover,61.5,over,,home_win
401856786,Cincinnati,Western Carolina,62,10,72,52,betmgm,-36.0,home_cover,61.5,over,-50000.0,home_win
401856786,Cincinnati,Western Carolina,62,10,72,52,betonlineag,-36.0,home_cover,61.5,over,,home_win
401856786,Cincinnati,Western Carolina,62,10,72,52,betrivers,-37.0,home_cover,61.0,over,,home_win
401856786,Cincinnati,Western Carolina,62,10,72,52,bovada,-36.5,home_cover,61.5,over,,home_win
401856786,Cincinnati,Western Carolina,62,10,72,52,draftkings,-36.5,home_cover,61.5,over,,home_win
401856786,Cincinnati,Western Carolina,62,10,72,52,fanduel,-35.5,home_cover,61.5,over,-10000.0,home_win
401856786,Cincinnati,Western Carolina,62,10,72,52,lowvig,-36.0,home_cover,61.5,over,,home_win
401908095,Guilford,Methodist,20,17,37,3,none,,,,,,
401908251,Simpson (IA),Crown,52,0,52,52,none,,,,,,
401907205,Lincoln (MO),Langston,14,19,33,-5,none,,,,,,
401858447,Wisconsin,Western Illinois,36,9,45,27,Bovada,-43.0,away_cover,52.0,under,,home_win
401858447,Wisconsin,Western Illinois,36,9,45,27,DraftKings,-42.5,away_cover,51.5,under,,home_win
401858447,Wisconsin,Western Illinois,36,9,45,27,betmgm,-42.5,away_cover,51.5,under,,home_win
401858447,Wisconsin,Western Illinois,36,9,45,27,betonlineag,-42.5,away_cover,52.0,under,,home_win
401858447,Wisconsin,Western Illinois,36,9,45,27,betrivers,-42.5,away_cover,52.0,under,,home_win
401858447,Wisconsin,Western Illinois,36,9,45,27,bovada,-43.0,away_cover,52.5,under,,home_win
401858447,Wisconsin,Western Illinois,36,9,45,27,draftkings,-42.5,away_cover,51.5,under,,home_win
401858447,Wisconsin,Western Illinois,36,9,45,27,fanduel,-42.5,away_cover,51.5,under,,home_win
401858447,Wisconsin,Western Illinois,36,9,45,27,lowvig,-42.5,away_cover,52.0,under,,home_win
401858443,UCLA,San Diego State,28,10,38,18,Bovada,-13.5,home_cover,54.0,under,-490.0,home_win
401858443,UCLA,San Diego State,28,10,38,18,DraftKings,-13.5,home_cover,54.5,under,-535.0,home_win
401858443,UCLA,San Diego State,28,10,38,18,betmgm,-13.5,home_cover,53.5,under,-550.0,home_win
